Абсолютный путь,Относительный путь,Имя классa
/home/cossieman2000/WORK/python/new_data_2/dataset/01634.jpg,/python/new_data_2/dataset/01634.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/00204.jpg,/python/new_data_2/dataset/00204.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/02383.jpg,/python/new_data_2/dataset/02383.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/01813.jpg,/python/new_data_2/dataset/01813.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/02117.jpg,/python/new_data_2/dataset/02117.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/07641.jpg,/python/new_data_2/dataset/07641.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/07244.jpg,/python/new_data_2/dataset/07244.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/05428.jpg,/python/new_data_2/dataset/05428.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/01070.jpg,/python/new_data_2/dataset/01070.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/09715.jpg,/python/new_data_2/dataset/09715.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/00541.jpg,/python/new_data_2/dataset/00541.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/00157.jpg,/python/new_data_2/dataset/00157.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/09600.jpg,/python/new_data_2/dataset/09600.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/04422.jpg,/python/new_data_2/dataset/04422.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/09074.jpg,/python/new_data_2/dataset/09074.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/05397.jpg,/python/new_data_2/dataset/05397.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/01567.jpg,/python/new_data_2/dataset/01567.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/07677.jpg,/python/new_data_2/dataset/07677.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/08703.jpg,/python/new_data_2/dataset/08703.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/08077.jpg,/python/new_data_2/dataset/08077.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/03255.jpg,/python/new_data_2/dataset/03255.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/02816.jpg,/python/new_data_2/dataset/02816.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/04287.jpg,/python/new_data_2/dataset/04287.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/08834.jpg,/python/new_data_2/dataset/08834.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/04403.jpg,/python/new_data_2/dataset/04403.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/06358.jpg,/python/new_data_2/dataset/06358.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/00250.jpg,/python/new_data_2/dataset/00250.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/07046.jpg,/python/new_data_2/dataset/07046.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/00595.jpg,/python/new_data_2/dataset/00595.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/02762.jpg,/python/new_data_2/dataset/02762.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/00630.jpg,/python/new_data_2/dataset/00630.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/01859.jpg,/python/new_data_2/dataset/01859.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/08861.jpg,/python/new_data_2/dataset/08861.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/07951.jpg,/python/new_data_2/dataset/07951.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/04798.jpg,/python/new_data_2/dataset/04798.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/07076.jpg,/python/new_data_2/dataset/07076.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/05514.jpg,/python/new_data_2/dataset/05514.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/02475.jpg,/python/new_data_2/dataset/02475.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/05853.jpg,/python/new_data_2/dataset/05853.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/01625.jpg,/python/new_data_2/dataset/01625.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/00992.jpg,/python/new_data_2/dataset/00992.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/03791.jpg,/python/new_data_2/dataset/03791.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/01732.jpg,/python/new_data_2/dataset/01732.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/06119.jpg,/python/new_data_2/dataset/06119.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/09919.jpg,/python/new_data_2/dataset/09919.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/07913.jpg,/python/new_data_2/dataset/07913.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/05465.jpg,/python/new_data_2/dataset/05465.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/01458.jpg,/python/new_data_2/dataset/01458.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/09822.jpg,/python/new_data_2/dataset/09822.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/02169.jpg,/python/new_data_2/dataset/02169.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/04021.jpg,/python/new_data_2/dataset/04021.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/00055.jpg,/python/new_data_2/dataset/00055.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/01973.jpg,/python/new_data_2/dataset/01973.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/03966.jpg,/python/new_data_2/dataset/03966.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/03834.jpg,/python/new_data_2/dataset/03834.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/01494.jpg,/python/new_data_2/dataset/01494.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/02138.jpg,/python/new_data_2/dataset/02138.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/07705.jpg,/python/new_data_2/dataset/07705.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/01055.jpg,/python/new_data_2/dataset/01055.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/03642.jpg,/python/new_data_2/dataset/03642.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/02829.jpg,/python/new_data_2/dataset/02829.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/03221.jpg,/python/new_data_2/dataset/03221.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/08419.jpg,/python/new_data_2/dataset/08419.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/02924.jpg,/python/new_data_2/dataset/02924.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/06094.jpg,/python/new_data_2/dataset/06094.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/02430.jpg,/python/new_data_2/dataset/02430.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/07302.jpg,/python/new_data_2/dataset/07302.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/04994.jpg,/python/new_data_2/dataset/04994.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/02204.jpg,/python/new_data_2/dataset/02204.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/06075.jpg,/python/new_data_2/dataset/06075.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/07766.jpg,/python/new_data_2/dataset/07766.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/03503.jpg,/python/new_data_2/dataset/03503.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/04460.jpg,/python/new_data_2/dataset/04460.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/03262.jpg,/python/new_data_2/dataset/03262.jpg,polar bear
/home/cossieman2000/WORK/python/new_data_2/dataset/04469.jpg,/python/new_data_2/dataset/04469.jpg,polar bear
